Race Date,Race Time,Meeting,Horse Name
2025-04-16,2:05,CHL,Riskintheground
2025-04-16,2:40,CHL,River Run Free
2025-04-16,7:15,FFO,Rodney
2025-04-16,7:45,FFO,Romantic Fantasy
2025-04-16,12:10,HAP,Romantic Son
2025-04-16,1:10,HAP,Romantic Style
2025-04-16,3:00,NMK,Rose Of New Jersey
2025-04-16,5:07,BEV,Rosewood Fleetfoot
2025-04-16,12:10,HAP,Royal Zabeel
2025-04-16,3:00,NMK,Royale Margaux
2025-04-16,2:05,CHL,Run To Freedom
2025-04-16,3:00,NMK,Sadler's Bay
2025-04-16,7:15,FFO,Saint Brandon
2025-04-16,1:57,GOW,Saint Palais
2025-04-16,6:45,FFO,Saint Xavier
2025-04-16,3:15,CHL,Sajir
2025-04-16,3:00,NMK,Saladam
2025-04-16,6:15,FFO,Sam Silver
2025-04-16,5:12,FFO,Samuel Spade
2025-04-16,3:50,CHL,Sand Lily
2025-04-16,1:40,BEV,Scorpio Rising
2025-04-16,5:12,FFO,Scotland
2025-04-16,4:45,NMK,Seed Investor
2025-04-16,5:07,BEV,Senna's Girl
2025-04-16,2:32,GOW,Serangoon
2025-04-16,12:10,HAP,Seren Star
2025-04-16,4:10,NMK,Seventy
2025-04-16,2:25,NMK,Shahada Ace
2025-04-16,2:32,GOW,Shielas Well
2025-04-16,4:00,BEV,Shinyu Kokoroe
2025-04-16,2:10,HAP,Shiota
2025-04-16,1:57,GOW,Shot Boii
2025-04-16,7:15,FFO,Shotgun
2025-04-16,2:45,HAP,Showyoutheropes
2025-04-16,2:25,NMK,Silver King
2025-04-16,1:40,HAP,Sioux Eagle
2025-04-16,5:27,GOW,Sioux Perfect
2025-04-16,1:40,BEV,Sir Peter Fossick
2025-04-16,4:00,BEV,Sissi
2025-04-16,3:07,GOW,Sisterandbrother
2025-04-16,4:32,BEV,Skontonovski
2025-04-16,4:52,GOW,Smart Trio
2025-04-16,3:50,HAP,Smart Vision
2025-04-16,2:50,BEV,Smiling Emperor
2025-04-16,12:40,HAP,Soaring Bronco
2025-04-16,1:40,HAP,Solar River
2025-04-16,2:45,HAP,Solar Up
